1. Supino reto | Peito | Exercício de empurrar, focado no peitoral | intermediário
84. Mountain climbers | Core | Exercício dinâmico, simulação de escalada | intermediário
85. Burpee | Geral | Exercício funcional para todo o corpo | intermediário
86. Pullover unilateral | Costas | Variação do pull-over com um braço | intermediário
87. Abdominal canivete | Core | Elevação simultânea de pernas e tronco | avançado
88. Prancha com rotação | Core | Prancha dinâmica com rotação de tronco | intermediário
89. Rollout de abdômen | Core | Usar roda de abdômen para extensão e flexão do tronco | avançado
90. Flexão aranha | Peito | Variação da flexão com rotação dos quadris | intermediário
91. Flexão diamante | Peito | Flexões com as mãos próximas | intermediário
92. Sissy squat | Pernas | Variação de agachamento focada no quadríceps | avançado
93. Prancha com levantamento de perna | Core | Prancha com elevação alternada de pernas | intermediário
94. Pistol squat | Pernas | Agachamento com uma perna | avançado
95. Flexão de punho | Antebraço | Exercício para fortalecer os antebraços | intermediário
96. Flexão hindu | Peito | Flexão com movimento fluído, estilo ioga | intermediário
97. Kickback de tríceps | Tríceps | Extensão de tríceps com halteres | intermediário
98. Agachamento com salto | Pernas | Agachamento seguido de salto para potência | avançado
99. Flexão diamante | Peito | Flexão com as mãos em formato de diamante | intermediário
100. Flexão escalonada | Peito | Flexão com mãos em diferentes alturas | intermediário
101. Levantamento com kettlebell | Pernas | Movimento balístico com kettlebell | intermediário
102. Agachamento frontal com halteres | Pernas | Variação do agachamento frontal com halteres | intermediário
103. Elevação de ombro com barra | Ombros | Elevação de barra para ombros | intermediário
104. Kickbacks de perna | Glúteos | Extensão de quadril em máquina ou polia | intermediário
105. Isometria de panturrilha | Panturrilha | Manter a panturrilha contraída em posição elevada | intermediário
106. Puxada neutra | Costas | Puxada com pegada neutra, focando dorsais | intermediário
107. Tríceps na polia | Tríceps | Extensão de tríceps em polia | intermediário
108. Rosca alternada | Bíceps | Alternar roscas com cada braço, usando halteres | intermediário
109. Agachamento com peso corporal | Pernas | Agachamento apenas com o peso do corpo | novato
110. Prancha com elevação lateral | Core | Prancha com elevação lateral de perna | intermediário
111. Elevação lateral com kettlebell | Ombros | Elevação de braços usando kettlebell | intermediário
112. Agachamento com barra baixa | Pernas | Variação do agachamento com barra mais baixa nas costas | intermediário
113. Puxada com corda | Costas | Puxada de corda para focar dorsais e trapézios | intermediário
114. Extensão de quadril com halteres | Glúteos | Elevação de quadril usando halteres | intermediário
115. Rosca scott | Bíceps | Rosca em banco scott, isolando o bíceps | intermediário
116. Extensão de panturrilha em pé | Pernas | Exercício de panturrilha em pé, em máquina | intermediário
117. Flexão de pernas sentado | Pernas | Flexão de pernas em máquina, sentado | intermediário
118. Prancha com toque de ombro | Core | Variação da prancha com toque alternado nos ombros | intermediário
119. Stiff com barra | Pernas | Exercício de isquiotibiais, flexionando o quadril com barra | intermediário
120. Flexão de joelhos | Core | Flexão de joelhos usando uma bola suíça | intermediário
121. Prancha alternada | Core | Prancha com alternância de mãos e pés | intermediário
122. Russian kettlebell swing | Pernas | Movimento de balança com kettlebell | intermediário
123. Salto agachamento | Pernas | Agachamento seguido de salto para potência | avançado
124. Pull-up | Costas | Elevação do corpo usando uma barra | avançado
125. Mergulho em barras paralelas | Peito | Exercício para peito e tríceps, em barras paralelas | avançado
126. Elevação de perna suspensa | Core | Elevação de pernas em barra, focando abdominais | avançado
127. Prancha frontal | Core | Exercício isométrico, mantendo o corpo reto | novato
128. Alongamento borboleta | Pernas | Alongamento da região interna das coxas | novato
129. Alongamento de quadríceps | Pernas | Alongar quadríceps puxando o pé em direção ao glúteo | novato
130. Alongamento de panturrilha | Pernas | Alongar panturrilha em degrau ou parede | novato
131. Alongamento de isquiotibiais | Pernas | Alongar isquiotibiais inclinando-se à frente | novato
132. Alongamento dos ombros | Ombros | Alongamento passivo para ombros | novato
133. Alongamento dos tríceps | Tríceps | Alongar tríceps puxando o braço acima da cabeça | novato
134. Alongamento lateral do tronco | Core | Alongar oblíquos inclinando-se lateralmente | novato
135. Abdominal prancha | Core | Exercício isométrico de prancha para abdominais | novato
136. Crunch oblíquo | Core | Crunch focando nos oblíquos, com rotação do tronco | intermediário
137. Elevação lateral com cabos | Ombros | Elevação lateral usando cabos, para focar deltoides | intermediário
138. Flexão com bola suíça | Peito | Flexão de braço com suporte de bola suíça | intermediário
139. Crunch com bola | Core | Crunch abdominal usando bola suíça | intermediário
140. Leg raise | Core | Elevação de pernas, focando abdominais inferiores | intermediário
141. Flexão com elevação de perna | Peito | Flexão tradicional com elevação alternada das pernas | intermediário
142. Extensão de pernas sentado | Pernas | Extensão de pernas em máquina, sentado | intermediário
143. Flexão explosiva | Peito | Flexão de braços com movimento explosivo | avançado
144. Remada com halteres | Costas | Exercício de remada para as costas com halteres | intermediário
145. Remada curvada com barra | Costas | Remada com barra para fortalecimento dos dorsais | intermediário
146. Supino fechado | Peito | Variação do supino, com pegada fechada, para trabalhar tríceps | intermediário
147. Rosca direta no cabo | Bíceps | Rosca bíceps usando cabos | intermediário
148. Tríceps testa com barra | Tríceps | Exercício de tríceps com barra, deitado | intermediário
149. Rosca alternada com halteres | Bíceps | Alternância de rosca com halteres | intermediário
150. Rosca concentrada com halteres | Bíceps | Rosca isolada com halteres | intermediário
151. Rosca martelo com halteres | Bíceps | Variação da rosca com pegada neutra | intermediário
152. Remada unilateral com halteres | Costas | Remada com um haltere, focando dorsais | intermediário
153. Supino com halteres | Peito | Supino com halteres para peito e ombros | intermediário
154. Flexão de joelhos na bola suíça | Core | Flexão de joelhos, puxando uma bola suíça para o corpo | intermediário
155. Prancha com bola suíça | Core | Variação da prancha, apoiando os pés na bola suíça | intermediário
156. Agachamento sumô com halteres | Pernas | Variação do agachamento com halteres | intermediário
157. Levantamento terra com barra | Pernas | Exercício de levantamento de peso, focando costas e pernas | avançado
158. Flexão com apoio | Peito | Variação da flexão com os pés elevados | intermediário
159. Agachamento com barra | Pernas | Agachamento com barra nas costas | avançado
160. Flexão em anilhas | Peito | Flexão usando anilhas para variar a altura das mãos | intermediário
